Region,State,Abbr,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Southeast,Alabama,AL,90.09,88.65,87.26,85.6,82.98,81.65,81.93,78.91,76.52,74.32,71.89,70.02,68.46,67.4,65.53
,Alaska,AK,133.34,131.21,129.15,126.7,122.82,120.84,121.27,116.78,113.25,110,106.4,103.64,101.33,99.75,96.99
Southwest,Arizona,AZ,98.68,97.11,95.58,93.76,90.9,89.43,89.75,86.43,83.81,81.41,78.74,76.7,74.99,73.82,71.78
Southeast,Arkansas,AR,91.29,89.83,88.42,86.74,84.09,82.73,83.02,79.95,77.53,75.31,72.84,70.95,69.37,68.29,66.4
West,California,CA,134.14,132,129.92,127.46,123.56,121.56,121.99,117.48,113.92,110.66,107.03,104.26,101.93,100.35,97.57
Southwest,Colorado,CO,101.78,100.15,98.58,96.71,93.75,92.24,92.56,89.14,86.44,83.96,81.21,79.11,77.34,76.14,74.03
New England,Connecticut,CT,131.64,129.54,127.5,125.08,121.26,119.3,119.72,115.3,111.8,108.6,105.04,102.32,100.04,98.48,95.76
Mid-Atlantic,Delaware,DE,146.63,144.29,142.01,139.32,135.06,132.88,133.35,128.42,124.53,120.96,117,113.96,111.42,109.69,106.65
Mid-Atlantic,District of Columbia,DC,102.68,101.04,99.45,97.56,94.58,93.05,93.38,89.93,87.2,84.71,81.93,79.8,78.03,76.81,74.69
Southeast,Florida,FL,100.38,98.78,97.22,95.38,92.46,90.97,91.29,87.92,85.25,82.81,80.1,78.02,76.28,75.09,73.02
Southeast,Georgia,GA,91.59,90.13,88.71,87.03,84.36,83,83.3,80.22,77.79,75.56,73.08,71.19,69.6,68.52,66.62
,Hawaii,HI,168.4,165.71,163.1,160.01,155.11,152.61,153.15,147.49,143.02,138.92,134.37,130.89,127.97,125.98,122.49
Southwest,Idaho,ID,88.1,86.69,85.32,83.7,81.14,79.83,80.12,77.16,74.82,72.68,70.29,68.47,66.94,65.9,64.08
Midwest,Illinois,IL,96.39,94.85,93.35,91.58,88.78,87.35,87.66,84.42,81.86,79.51,76.91,74.91,73.24,72.1,70.11
Midwest,Indiana,IN,87.9,86.49,85.13,83.51,80.96,79.65,79.94,76.98,74.65,72.51,70.13,68.31,66.79,65.75,63.93
Midwest,Iowa,IA,91.89,90.42,89,87.31,84.64,83.27,83.57,80.48,78.04,75.81,73.32,71.42,69.83,68.74,66.84
Midwest,Kansas,KS,90.79,89.34,87.94,86.27,83.63,82.28,82.57,79.52,77.11,74.9,72.45,70.57,68.99,67.92,66.04
Southeast,Kentucky,KY,89.89,88.46,87.06,85.41,82.8,81.46,81.75,78.73,76.35,74.16,71.73,69.87,68.31,67.25,65.39
Southeast,Louisiana,LA,93.29,91.8,90.35,88.64,85.93,84.54,84.84,81.7,79.23,76.96,74.44,72.51,70.89,69.79,67.86
New England,Maine,ME,114.56,112.74,110.96,108.85,105.52,103.82,104.19,100.34,97.3,94.51,91.41,89.04,87.06,85.7,83.33
Mid-Atlantic,Maryland,MD,120.96,119.03,117.15,114.93,111.41,109.61,110,105.94,102.73,99.78,96.51,94.01,91.92,90.49,87.98
New England,Massachusetts,MA,130.25,128.17,126.15,123.75,119.97,118.03,118.45,114.07,110.62,107.45,103.93,101.23,98.97,97.43,94.74
Midwest,Michigan,MI,91.09,89.64,88.23,86.55,83.9,82.55,82.84,79.78,77.36,75.15,72.68,70.8,69.22,68.14,66.26
Midwest,Minnesota,MN,101.38,99.76,98.19,96.33,93.38,91.87,92.2,88.79,86.1,83.63,80.89,78.8,77.04,75.84,73.74
Southeast,Mississippi,MS,83.4,82.07,80.78,79.24,76.82,75.58,75.85,73.04,70.83,68.8,66.55,64.82,63.38,62.39,60.66
Midwest,Missouri,MO,91.39,89.93,88.52,86.84,84.18,82.82,83.12,80.04,77.62,75.39,72.92,71.03,69.45,68.37,66.48
Southwest,Montana,MT,102.58,100.94,99.35,97.47,94.48,92.96,93.29,89.84,87.12,84.62,81.85,79.73,77.95,76.74,74.61
Midwest,Nebraska,NE,92.19,90.72,89.29,87.6,84.92,83.55,83.84,80.74,78.3,76.05,73.56,71.65,70.06,68.97,67.06
West,Nevada,NV,106.37,104.68,103.03,101.07,97.98,96.4,96.74,93.16,90.34,87.75,84.88,82.68,80.83,79.58,77.37
New England,New Hampshire,NH,118.06,116.18,114.35,112.18,108.74,106.99,107.37,103.4,100.27,97.39,94.2,91.76,89.71,88.32,85.87
Mid-Atlantic,New Jersey,NJ,125.45,123.45,121.5,119.2,115.55,113.69,114.09,109.87,106.54,103.49,100.1,97.5,95.33,93.85,91.25
Southwest,New Mexico,NM,135.44,133.28,131.18,128.69,124.75,122.74,123.17,118.62,115.03,111.73,108.07,105.27,102.92,101.32,98.52
New York,New York,NY,135.44,133.28,131.18,128.69,124.75,122.74,123.17,118.62,115.03,111.73,108.07,105.27,102.92,101.32,98.52
Southeast,North Carolina,NC,135.44,94.16,92.68,90.92,88.14,86.71,87.02,83.8,81.27,78.94,76.35,74.37,72.71,71.58,69.6
Midwest,North Dakota,ND,95.69,99.47,97.9,96.04,93.1,91.6,91.93,88.53,85.85,83.39,80.65,78.56,76.81,75.62,73.52
Midwest,Ohio,OH,101.08,90.92,89.48,87.79,85.1,83.73,84.02,80.92,78.47,76.22,73.72,71.81,70.21,69.12,67.2
Southwest,Oklahoma,OK,92.39,88.16,86.77,85.13,82.52,81.19,81.48,78.47,76.09,73.91,71.49,69.63,68.08,67.02,65.17
West,Oregon,OR,89.59,127.28,125.28,122.9,119.14,117.22,117.63,113.28,109.85,106.71,103.21,100.53,98.29,96.76,94.08
Mid-Atlantic,Pennsylvania,PA,129.35,101.24,99.64,97.75,94.76,93.23,93.56,90.1,87.37,84.87,82.09,79.96,78.18,76.96,74.83
New England,Rhode Island,RI,102.88,121.19,119.28,117.02,113.44,111.61,112,107.86,104.59,101.6,98.27,95.72,93.59,92.13,89.58
Southeast,South Carolina,SC,123.15,95.83,94.32,92.53,89.7,88.25,88.57,85.29,82.71,80.34,77.71,75.69,74,72.85,70.84
Midwest,South Dakota,SD,97.38,100.74,99.16,97.28,94.3,92.78,93.11,89.66,86.95,84.46,81.69,79.57,77.8,76.59,74.47
Southeast,Tennessee,TN,102.38,88.75,87.36,85.7,83.08,81.74,82.03,78.99,76.6,74.41,71.97,70.1,68.54,67.47,65.6
Southwest,Texas,TX,90.19,91.01,89.58,87.88,85.19,83.82,84.11,81,78.55,76.3,73.8,71.89,70.28,69.19,67.28
Southwest,Utah,UT,92.49,90.82,89.39,87.69,85.01,83.64,83.93,80.83,78.38,76.14,73.64,71.73,70.13,69.04,67.13
New England,Vermont,VT,92.49,121.68,119.76,117.49,113.9,112.06,112.46,108.3,105.02,102.01,98.67,96.11,93.97,92.5,89.94
Mid-Atlantic,Virginia,VA,92.29,92.88,91.42,89.68,86.94,85.54,85.84,82.67,80.16,77.87,75.31,73.36,71.73,70.61,68.66
West,Washington,WA,123.65,104.18,102.54,100.6,97.52,95.95,96.29,92.73,89.92,87.34,84.48,82.29,80.45,79.2,77.01
Mid-Atlantic,West Virginia,WV,94.39,101.92,100.32,98.41,95.4,93.86,94.2,90.71,87.97,85.45,82.65,80.5,78.71,77.48,75.34
Midwest,Wisconsin,WI,105.87,96.42,94.9,93.1,90.25,88.8,89.11,85.82,83.22,80.83,78.18,76.16,74.46,73.3,71.27
Southwest,Wyoming,WY,103.58,91.21,89.77,88.07,85.38,84,84.3,81.18,78.72,76.47,73.96,72.04,70.44,69.34,67.42
