State,Abre,ID,costIndex2014,costIndex2013,costIndex2012,costIndex2011,costIndex2010,costIndex2009,costIndex2008,costIndex2007,costIndex2006,costIndex2005,costIndex2004,costIndex2003,costIndex2002,costIndex2001,costIndex2000,Income2014,Income2013,Income2012,Income2011,Income2010,Income2009,Income2008,Income2007,Income2006,Income2005,Income2004,Income2003,Income2002,Income2001,Income2000,Income1999,Income1998,Income1997,
Alabama,AL,1,90.09,88.65,87.26,85.60,82.98,81.65,81.93,78.91,76.52,74.32,71.89,70.02,68.46,67.40,65.53,42278.00,44351.00,43464.00,42590.00,40933.00,39980.00,44476.00,42212.00,37952.00,37150.00,36629.00,37255.00,37603.00,35160.00,35424.00,36251.00,36266.00,31939.00,
Alaska,AK,2,133.34,131.21,129.15,126.70,122.82,120.84,121.27,116.78,113.25,110.00,106.40,103.64,101.33,99.75,96.99,67629.00,66805.00,63648.00,57431.00,57848.00,61604.00,63989.00,62993.00,56418.00,55891.00,55063.00,51837.00,52774.00,57363.00,52847.00,51396.00,50692.00,47994.00,
Arizona,AZ,4,98.68,97.11,95.58,93.76,90.90,89.43,89.75,86.43,83.81,81.41,78.74,76.70,74.99,73.82,71.78,49254.00,51607.00,47044.00,48621.00,46896.00,45739.00,46914.00,47215.00,46657.00,45245.00,43846.00,41166.00,39734.00,42704.00,39783.00,36995.00,37090.00,32740.00,
Arkansas,AR,5,91.29,89.83,88.42,86.74,84.09,82.73,83.02,79.95,77.53,75.31,72.84,70.95,69.37,68.29,66.40,44922.00,39648.00,39018.00,41302.00,38587.00,36538.00,39586.00,40795.00,37057.00,36658.00,34984.00,32002.00,32387.00,33339.00,29697.00,29682.00,27665.00,26162.00,
California,CA,6,134.14,132.00,129.92,127.46,123.56,121.56,121.99,117.48,113.92,110.66,107.03,104.26,101.93,100.35,97.57,60487.00,59161.00,57020.00,53367.00,54283.00,56134.00,57014.00,55734.00,55319.00,51755.00,49222.00,49300.00,47437.00,47262.00,46816.00,43629.00,40934.00,39694.00,
Colorado,CO,8,101.78,100.15,98.58,96.71,93.75,92.24,92.56,89.14,86.44,83.96,81.21,79.11,77.34,76.14,74.03,60940.00,65642.00,57255.00,58629.00,60233.00,55930.00,60943.00,61141.00,55697.00,50449.00,50886.00,49940.00,48294.00,49397.00,48240.00,48177.00,46599.00,43233.00,
Connecticut,CT,9,131.64,129.54,127.50,125.08,121.26,119.30,119.72,115.30,111.80,108.60,105.04,102.32,100.04,98.48,95.76,70161.00,68536.00,64247.00,65415.00,65998.00,64851.00,64682.00,64141.00,62404.00,56835.00,55100.00,54965.00,53387.00,53347.00,50172.00,50593.00,46508.00,43985.00,
D.C.,DC,11,102.68,101.04,99.45,97.56,94.58,93.05,93.38,89.93,87.20,84.71,81.93,79.80,78.03,76.81,74.69,68277.00,60366.00,65246.00,55251.00,56928.00,53141.00,55590.00,50783.00,48477.00,44993.00,43451.00,45044.00,39070.00,41169.00,41222.00,38670.00,33433.00,31860.00,
Delaware,DE,10,146.63,144.29,142.01,139.32,135.06,132.88,133.35,128.42,124.53,120.96,117.00,113.96,111.42,109.69,106.65,57522.00,53155.00,48972.00,54660.00,55214.00,52114.00,50702.00,54589.00,52438.00,51235.00,48049.00,49019.00,49650.00,49602.00,50365.00,46628.00,41458.00,43033.00,
Florida,FL,12,100.38,98.78,97.22,95.38,92.46,90.97,91.29,87.92,85.25,82.81,80.10,78.02,76.28,75.09,73.02,46140.00,48209.00,46071.00,45105.00,44066.00,45631.00,44857.00,45794.00,45676.00,42990.00,40535.00,38972.00,38024.00,36421.00,38856.00,35831.00,34909.00,32455.00,
Georgia,GA,13,91.59,90.13,88.71,87.03,84.36,83.00,83.30,80.22,77.79,75.56,73.08,71.19,69.60,68.52,66.62,49555.00,47216.00,48121.00,45973.00,44117.00,43340.00,46227.00,48641.00,49344.00,45926.00,40984.00,42438.00,42939.00,42576.00,41901.00,39425.00,38665.00,36663.00,
Hawaii,HI,15,168.40,165.71,163.10,160.01,155.11,152.61,153.15,147.49,143.02,138.92,134.37,130.89,127.97,125.98,122.49,71223.00,62822.00,56263.00,59047.00,59539.00,55649.00,61521.00,64022.00,60470.00,59586.00,56242.00,51834.00,47303.00,47439.00,51546.00,44504.00,40827.00,40934.00,
Idaho,ID,16,88.10,86.69,85.32,83.70,81.14,79.83,80.12,77.16,74.82,72.68,70.29,68.47,66.94,65.90,64.08,53438.00,50117.00,47922.00,47459.00,47050.00,46778.00,47420.00,49184.00,46213.00,44176.00,44358.00,42372.00,37715.00,38241.00,37611.00,35800.00,36680.00,33404.00,
Illinois,IL,17,96.39,94.85,93.35,91.58,88.78,87.35,87.66,84.42,81.86,79.51,76.91,74.91,73.24,72.10,70.11,54916.00,55567.00,51738.00,50637.00,50728.00,52870.00,53254.00,52506.00,48671.00,48398.00,46077.00,45153.00,42710.00,46171.00,46064.00,46330.00,43178.00,41283.00,
Indiana,IN,18,87.90,86.49,85.13,83.51,80.96,79.65,79.94,76.98,74.65,72.51,70.13,68.31,66.79,65.75,63.93,48060.00,50004.00,46158.00,44445.00,46139.00,44305.00,46520.00,47453.00,45407.00,42437.00,42329.00,42425.00,41047.00,40379.00,40865.00,40838.00,39731.00,38889.00,
Iowa,IA,19,91.89,90.42,89.00,87.31,84.64,83.27,83.57,80.48,78.04,75.81,73.32,71.42,69.83,68.74,66.84,57810.00,57506.00,53442.00,50219.00,49016.00,50721.00,50142.00,48908.00,48126.00,46500.00,43391.00,41384.00,41049.00,40976.00,40991.00,41098.00,37019.00,33783.00,
Kansas,KS,20,90.79,89.34,87.94,86.27,83.63,82.28,82.57,79.52,77.11,74.90,72.45,70.57,68.99,67.92,66.04,53444.00,49653.00,50003.00,46147.00,46054.00,44717.00,47877.00,48497.00,45552.00,42027.00,41066.00,44232.00,42619.00,41415.00,41059.00,37348.00,36711.00,36471.00,
Kentucky,KY,21,89.89,88.46,87.06,85.41,82.80,81.46,81.75,78.73,76.35,74.16,71.73,69.87,68.31,67.25,65.39,42786.00,43519.00,41086.00,39856.00,41104.00,42664.00,41148.00,39452.00,39485.00,36699.00,35610.00,36936.00,36762.00,38437.00,36265.00,33738.00,36252.00,33452.00,
Louisiana,LA,22,93.29,91.80,90.35,88.64,85.93,84.54,84.84,81.70,79.23,76.96,74.44,72.51,70.89,69.79,67.86,42406.00,43024.00,39085.00,40658.00,39300.00,45433.00,39563.00,41313.00,36488.00,37236.00,36429.00,33507.00,34008.00,33322.00,30718.00,32654.00,31735.00,33260.00,
Maine,ME,23,114.56,112.74,110.96,108.85,105.52,103.82,104.19,100.34,97.30,94.51,91.41,89.04,87.06,85.70,83.33,51710.00,52539.00,49158.00,49693.00,47931.00,47502.00,47228.00,47894.00,45642.00,43923.00,41329.00,37113.00,36853.00,36612.00,37266.00,38862.00,35640.00,32772.00,
Maryland,MD,24,120.96,119.03,117.15,114.93,111.41,109.61,110.00,105.94,102.73,99.78,96.51,94.01,91.92,90.49,87.98,76165.00,67308.00,71836.00,68876.00,64201.00,64186.00,63711.00,65630.00,63668.00,60512.00,57103.00,52314.00,56407.00,53530.00,54535.00,52205.00,50016.00,46685.00,
Massachusetts,MA,25,130.25,128.17,126.15,123.75,119.97,118.03,118.45,114.07,110.62,107.45,103.93,101.23,98.97,97.43,94.74,63151.00,62746.00,63656.00,63313.00,60934.00,59373.00,60320.00,58463.00,55330.00,56017.00,52019.00,50955.00,49855.00,52253.00,46753.00,44005.00,42345.00,42023.00,
Michigan,MI,26,91.09,89.64,88.23,86.55,83.90,82.55,82.84,79.78,77.36,75.15,72.68,70.80,69.22,68.14,66.26,52005.00,52684.00,50015.00,48879.00,46276.00,45994.00,49788.00,49370.00,48647.00,45933.00,42256.00,45022.00,42715.00,45047.00,45512.00,46089.00,41821.00,38742.00,
Minnesota,MN,27,101.38,99.76,98.19,96.33,93.38,91.87,92.20,88.79,86.10,83.63,80.89,78.80,77.04,75.84,73.74,67244.00,62616.00,61795.00,57820.00,52321.00,56090.00,54925.00,58058.00,56211.00,54215.00,56104.00,52823.00,54622.00,52681.00,54251.00,47038.00,47926.00,42564.00,
Mississippi,MS,28,83.40,82.07,80.78,79.24,76.82,75.58,75.85,73.04,70.83,68.80,66.55,64.82,63.38,62.39,60.66,35521.00,36594.00,36641.00,41090.00,38160.00,35078.00,36446.00,37279.00,34733.00,32875.00,34755.00,32728.00,30882.00,30161.00,34299.00,32478.00,29120.00,28499.00,
Missouri,MO,29,91.39,89.93,88.52,86.84,84.18,82.82,83.12,80.04,77.62,75.39,72.92,71.03,69.45,68.37,66.48,56630.00,48307.00,49764.00,45774.00,45817.00,48769.00,46038.00,46005.00,44579.00,42986.00,42137.00,43762.00,42776.00,41339.00,45097.00,41383.00,40201.00,36553.00,
Montana,MT,30,102.58,100.94,99.35,97.47,94.48,92.96,93.29,89.84,87.12,84.62,81.85,79.73,77.95,76.74,74.61,51102.00,43667.00,45088.00,40277.00,41280.00,40437.00,42900.00,43655.00,41105.00,37313.00,33956.00,34108.00,34835.00,32126.00,32777.00,31038.00,31577.00,29212.00,
Nebraska,NE,31,92.19,90.72,89.29,87.60,84.92,83.55,83.84,80.74,78.30,76.05,73.56,71.65,70.06,68.97,67.06,56870.00,55699.00,52196.00,55616.00,52504.00,49595.00,50728.00,49174.00,48145.00,47923.00,43786.00,43974.00,42796.00,43611.00,41750.00,38626.00,36413.00,34692.00,
