Region,State,Abbr,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Southeast,Alabama,AL,42278,44351,43464,42590,40933,39980,44476,42212,37952,37150,36629,37255,37603,35160,35424
Southwest,Arizona,AZ,49254,51607,47044,48621,46896,45739,46914,47215,46657,45245,43846,41166,39734,42704,39783
Southeast,Arkansas,AR,44922,39648,39018,41302,38587,36538,39586,40795,37057,36658,34984,32002,32387,33339,29697
West,California,CA,60487,59161,57020,53367,54283,56134,57014,55734,55319,51755,49222,49300,47437,47262,46816
Southwest,Colorado,CO,60940,65642,57255,58629,60233,55930,60943,61141,55697,50449,50886,49940,48294,49397,48240
New England,Connecticut,CT,70161,68536,64247,65415,65998,64851,64682,64141,62404,56835,55100,54965,53387,53347,50172
Mid-Atlantic,Delaware,DE,57522,53155,48972,54660,55214,52114,50702,54589,52438,51235,48049,49019,49650,49602,50365
Mid-Atlantic,District of Columbia,DC,68277,60366,65246,55251,56928,53141,55590,50783,48477,44993,43451,45044,39070,41169,41222
Southeast,Florida,FL,46140,48209,46071,45105,44066,45631,44857,45794,45676,42990,40535,38972,38024,36421,38856
Southeast,Georgia,GA,49555,47216,48121,45973,44117,43340,46227,48641,49344,45926,40984,42438,42939,42576,41901
Southwest,Idaho,ID,53438,50117,47922,47459,47050,46778,47420,49184,46213,44176,44358,42372,37715,38241,37611
Midwest,Illinois,IL,54916,55567,51738,50637,50728,52870,53254,52506,48671,48398,46077,45153,42710,46171,46064
Midwest,Indiana,IN,48060,50004,46158,44445,46139,44305,46520,47453,45407,42437,42329,42425,41047,40379,40865
Midwest,Iowa,IA,57810,57506,53442,50219,49016,50721,50142,48908,48126,46500,43391,41384,41049,40976,40991
Midwest,Kansas,KS,53444,49653,50003,46147,46054,44717,47877,48497,45552,42027,41066,44232,42619,41415,41059
Southeast,Kentucky,KY,42786,43519,41086,39856,41104,42664,41148,39452,39485,36699,35610,36936,36762,38437,36265
Southeast,Louisiana,LA,42406,43024,39085,40658,39300,45433,39563,41313,36488,37236,36429,33507,34008,33322,30718
New England,Maine,ME,51710,52539,49158,49693,47931,47502,47228,47894,45642,43923,41329,37113,36853,36612,37266
Mid-Atlantic,Maryland,MD,76165,67308,71836,68876,64201,64186,63711,65630,63668,60512,57103,52314,56407,53530,54535
New England,Massachusetts,MA,63151,62746,63656,63313,60934,59373,60320,58463,55330,56017,52019,50955,49855,52253,46753
Midwest,Michigan,MI,52005,52684,50015,48879,46276,45994,49788,49370,48647,45933,42256,45022,42715,45047,45512
Midwest,Minnesota,MN,67244,62616,61795,57820,52321,56090,54925,58058,56211,54215,56104,52823,54622,52681,54251
Southeast,Mississippi,MS,35521,36594,36641,41090,38160,35078,36446,37279,34733,32875,34755,32728,30882,30161,34299
Midwest,Missouri,MO,56630,48307,49764,45774,45817,48769,46038,46005,44579,42986,42137,43762,42776,41339,45097
Southwest,Montana,MT,51102,43667,45088,40277,41280,40437,42900,43655,41105,37313,33956,34108,34835,32126,32777
Midwest,Nebraska,NE,56870,55699,52196,55616,52504,49595,50728,49174,48145,47923,43786,43974,42796,43611,41750
West,Nevada,NV,49875,48608,47333,47043,51200,51434,54744,54058,52282,48209,47204,45184,44958,45403,45758
New England,New Hampshire,NH,73397,70211,67819,65880,66633,64131,66176,67576,61970,56984,56815,55567,55321,51331,50926
Mid-Atlantic,New Jersey,Nj,65243,62768,66692,62338,62968,64777,65306,60508,68059,63368,55275,56045,54568,51771,50405
Southwest,New Mexico,NM,46686,41147,43424,41982,45134,43542,42102,44356,40028,38947,39562,35105,35457,33124,35093
New York,New York,NY,54310,51905,47680,50636,49781,50216,50461,48944,48222,47176,44649,42788,41966,42114,40744
Southeast,North Carolina,NC,46784,43773,41553,45206,43830,41906,42930,43513,39797,42056,40238,37279,36515,38162,38317
Midwest,North Dakota,ND,60730,56020,55766,56361,51006,50075,49631,47205,41047,42192,39220,40410,36200,35793,35996
Midwest,Ohio,OH,49644,48573,44375,44648,45886,45879,46934,49099,45900,44203,43055,43520,42684,41785,42962
Southwest,Oklahoma,OK,47199,44970,48407,48455,43103,45878,46111,43216,38838,37645,39614,35902,36458,35609,32432
West,Oregon,OR,58875,52653,51775,51526,50602,49098,51727,50236,47091,44159,40994,41638,41802,41273,42499
Mid-Atlantic,Pennsylvania,PA,55173,54554,51904,49910,48314,48172,51402,48437,48477,46300,44106,42933,42498,43499,42176
New England,Rhode Island,RI,58633,57068,56065,49033,51623,51634,53241,54210,53736,49484,47935,44711,42417,45723,42197
Southeast,South Carolina,SC,44929,43656,44401,40084,41698,41101,42155,44213,39617,40230,38691,38479,37812,37736,37570
Midwest,South Dakota,SD,53053,53933,49415,47223,45352,45826,51600,46418,45427,43151,41107,39522,37873,39671,36475
Southeast,Tennessee,TN,43716,42930,42995,42279,38591,40517,39702,41195,40693,39406,38072,37523,37030,35783,34096
Southwest,Texas,TX,53875,52217,51926,49047,47266,47475,46490,46053,43307,41422,41397,39271,40149,40860,38609
Southwest,Utah,UT,63383,62007,58341,55493,56701,58491,62537,53529,54628,54813,50871,49275,47861,47342,47550
New England,Vermont,VT,60708,60178,55582,51862,55928,52318,50706,47390,51981,50704,47329,43261,42999,40794,39594
Mid-Atlantic,Virginia,VA,66155,66764,64632,62616,60367,60501,61985,59161,57119,51914,51141,54783,49631,50241,47163
West,Washington,WA,59068,62014,62187,56850,56163,60392,56631,58080,54723,50646,49922,47508,45183,42490,42525
Mid-Atlantic,West Virginia,WV,39552,41655,43553,41821,42777,40490,37994,42091,38419,36445,33373,32763,29359,29673,29411
Midwest,Wisconsin,WI,58080,53492,53079,52058,50351,51237,51200,51277,51692,44650,45732,46269,45903,45346,45088
Southwest,Wyoming,WY,55690,61571,57512,54509,52201,52470,53337,48744,47041,44718,45397,42555,39763,39719,39629
