Region,State,Abbr,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Southeast,Alabama,AL,25569,26093,27045,28802,30202,31683,32911,33910,33027,34073,35202,36036,36176,37512,38965
,Alaska,AK,32870,33978,35268,36577,38521,40545,43388,47271,46192,47773,50552,52269,51259,54012,55940
Southwest,Arizona,AZ,27220,27590,28446,30222,32429,34848,35929,36077,34063,34185,35675,36788,36723,37895,39060
Southeast,Arkansas,AR,23873,24237,25462,26855,27915,29479,31180,32434,31629,31991,33961,36291,36529,37782,39107
West,California,CA,34091,34306,35381,37244,39046,41693,43182,43786,41588,42411,44852,47614,48125,49985,52651
Southwest,Colorado,CO,35247,35002,35412,36676,38665,40709,42265,43631,41508,41877,44349,46402,46746,48869,50410
New England,Connecticut,CT,43696,43405,44187,47105,49481,53363,56723,57776,55505,57347,59884,62738,62112,64864,66972
Mid-Atlantic,Delaware,DE,33994,34875,35438,37263,38571,40735,41372,42319,41633,41783,43555,44747,44819,46378,47662
Mid-Atlantic,District of Columbia,DC,45093,46121,47830,50945,53902,57730,61107,66220,62823,63741,67359,68973,68606,69838,71496
Southeast,Florida,FL,30574,31032,31927,34042,36294,38812,39945,40018,37479,38718,40538,41249,41309,42737,44101
Southeast,Georgia,GA,29594,29868,30473,31527,32997,34420,35606,35895,34396,34487,36588,37254,37596,38980,40551
,Hawaii,HI,29648,30693,31850,33830,35669,37883,40024,41643,41093,41594,42938,44504,44314,46034,47753
Southwest,Idaho,ID,26075,26425,27031,28813,29815,31945,32952,32854,31392,32050,33544,34846,35641,36734,37509
Midwest,Illinois,IL,33755,34071,34627,36126,37692,40219,42360,43620,41529,42154,44303,46067,46477,47643,49471
Midwest,Indiana,IN,28652,28850,29433,30693,31272,32884,33868,35047,33588,34390,36357,37987,38291,39578,40998
Midwest,Iowa,IA,28367,29099,29698,32148,32869,34575,36815,39339,38123,38687,42058,43458,43735,44937,44971
Midwest,Kansas,KS,29789,29861,30772,31999,33483,35987,38122,40936,38889,39235,42403,43725,44311,44891,45876
Southeast,Kentucky,KY,25733,26180,26697,28046,29171,30596,31682,32953,32251,32977,34578,35814,35967,37396,38989
Southeast,Louisiana,LA,25121,25646,26268,27472,29308,33247,35857,37858,36348,37227,38506,40527,40819,42030,43252
New England,Maine,ME,28279,29057,30301,31762,32307,34019,35350,36695,36586,37102,38597,39589,39562,40745,42077
Mid-Atlantic,Maryland,MD,36819,37723,39004,41432,43301,45904,47708,49307,48739,49683,51800,53078,52545,54176,56127
New England,Massachusetts,MA,39774,39742,40744,42674,44596,47940,50103,51742,50296,51643,54327,56752,56549,58737,61032
Midwest,Michigan,MI,30245,30333,31060,32097,32914,33845,34855,35828,34159,35199,37343,38652,39197,40740,42427
Midwest,Minnesota,MN,33326,33899,35256,36924,37787,39634,41560,43256,41064,42567,45214,47293,47410,48998,50541
Southeast,Mississippi,MS,22806,23173,23981,25257,26794,28050,29543,30703,30188,30783,31976,33127,33629,34431,35444
Midwest,Missouri,MO,28794,29245,30261,31636,32603,34408,35842,37441,36306,36638,38042,39905,40297,41639,42752
Southwest,Montana,MT,24751,25296,26663,28180,29561,31484,33374,34912,33627,34737,36959,39102,38884,39903,41280
Midwest,Nebraska,NE,30178,30696,32611,33768,34772,35982,38484,40626,39226,40023,43820,45578,46254,47557,48006
